date,temp_2m_mean,appar_temp_mean,rain_sum,goog_trends,case
2008-01-31,22.757732,25.196896,3.820457,2,0
2008-02-29,20.6626,21.795855,1.8000287,0,0
2008-03-31,20.317026,20.951399,0.94940865,0,0
2008-04-30,22.066017,23.307356,1.1171666,0,0
2008-05-31,24.750021,27.194162,1.8651882,2,0
2008-06-30,27.172804,30.977726,3.9407222,0,0
2008-07-31,28.145578,32.82834,7.3185215,0,160
2008-08-31,28.147354,33.239674,9.424785,1,473
2008-09-30,27.648333,32.875446,10.966084,2,334
2008-10-31,27.372326,32.56658,10.726829,0,184
2008-11-30,26.56718,31.247322,8.432389,1,0
2008-12-31,25.098598,28.911478,5.9339247,0,0
2009-01-31,23.153751,25.752548,3.4003227,1,0
2009-02-28,21.769146,23.18652,1.2739881,0,0
2009-03-31,22.08592,22.918846,0.09935489,0,0
2009-04-30,23.421448,24.640741,1.01925,0,0
2009-05-31,25.774565,27.939745,2.0047045,0,1
2009-06-30,27.69971,31.215696,3.7824445,0,0
2009-07-31,28.56449,33.246838,5.449597,0,4
2009-08-31,28.765026,34.066895,8.466344,3,125
2009-09-30,28.354994,33.8714,10.357056,0,188
2009-10-31,27.901354,33.30678,10.24242,2,154
2009-11-30,27.096039,32.017433,8.649111,2,0
2009-12-31,25.500797,29.246511,4.688226,1,0
2010-01-31,23.187826,25.503551,1.8114517,0,0
2010-02-28,21.61838,22.653227,0.22872029,0,0
2010-03-31,21.72106,22.296093,0.23172046,3,0
2010-04-30,23.679932,24.857832,0.7393334,0,0
2010-05-31,26.387152,28.840097,2.5775537,0,0
2010-06-30,28.435322,32.270424,7.4681945,1,0
2010-07-31,28.999517,33.855198,10.446478,0,61
2010-08-31,28.663866,33.96989,11.641935,2,183
2010-09-30,28.39477,33.863087,11.522861,1,120
2010-10-31,28.03824,33.511826,8.380564,1,45
2010-11-30,27.29735,32.37014,5.8629446,0,1
2010-12-31,25.606585,29.611732,4.36828,0,0
2011-01-31,22.967735,25.46846,2.4987636,1,0
2011-02-28,21.104212,22.215506,0.7004167,1,0
2011-03-31,20.878826,21.212273,0.5050538,0,0
2011-04-30,22.126478,22.996284,1.0548056,1,0
2011-05-31,24.591738,26.791695,3.1519086,1,0
2011-06-30,26.647345,30.278927,6.6119447,2,61
2011-07-31,27.427258,32.21693,10.357822,11,255
2011-08-31,27.683853,32.931946,12.628441,13,691
2011-09-30,27.64151,32.90779,12.851862,8,193
2011-10-31,27.589128,32.833748,10.380349,6,114
2011-11-30,26.87653,31.558006,6.8355002,3,36
2011-12-31,25.30649,28.918674,3.5725539,3,9
2012-01-31,23.047548,25.416185,1.1689786,2,0
2012-02-29,20.924686,21.838543,0.29451156,2,0
2012-03-31,20.842655,21.192516,0.26322588,2,0
2012-04-30,22.25836,23.077143,1.6706668,1,0
2012-05-31,24.778807,26.790329,2.9830108,2,0
2012-06-30,27.518108,31.083279,4.0963054,2,10
2012-07-31,28.563997,33.27338,6.1265593,4,129
2012-08-31,28.771744,33.970856,6.813145,5,122
2012-09-30,28.501892,33.768154,7.6874723,5,246
2012-10-31,27.683826,32.819347,8.279839,4,107
2012-11-30,26.502165,31.05994,6.9080834,4,27
2012-12-31,24.541319,28.014784,4.7745166,1,0
2013-01-31,21.89817,23.950396,2.5112903,1,6
2013-02-28,19.994675,20.709898,0.84997034,2,7
2013-03-31,20.062128,20.288044,0.20483875,1,3
2013-04-30,22.12873,22.82207,0.43494448,1,3
2013-05-31,24.651804,26.495602,3.189812,1,12
2013-06-30,26.816887,30.0605,5.266861,3,50
2013-07-31,27.850393,32.218914,6.7844625,4,172
2013-08-31,27.69957,32.622307,8.059167,4,339
2013-09-30,27.79202,32.962547,6.9563613,6,385
2013-10-31,27.538586,32.708305,6.840726,5,501
2013-11-30,26.411978,31.027264,5.8256946,4,218
2013-12-31,24.646023,28.209923,4.0874734,2,53
2014-01-31,22.223043,24.392569,2.178871,2,15
2014-02-28,20.352905,21.261265,0.6389286,1,7
2014-03-31,19.924152,20.306236,0.5658065,2,2
2014-04-30,21.671942,22.504852,0.7792501,2,0
2014-05-31,24.619452,26.524439,1.8414247,1,8
2014-06-30,27.22317,30.484926,3.4064445,2,9
2014-07-31,28.802067,33.24602,5.9704843,3,82
2014-08-31,28.887712,33.96095,7.590699,3,80
2014-09-30,28.368492,33.683582,8.547973,3,76
2014-10-31,27.868628,33.12336,7.555672,3,63
2014-11-30,26.945179,31.60944,5.006,3,22
2014-12-31,25.194067,28.860167,3.062258,1,11
2015-01-31,22.896399,25.321032,1.2263441,1,0
2015-02-28,20.958323,22.150995,0.4322322,1,0
2015-03-31,20.775005,21.596607,0.44750005,1,2
2015-04-30,22.045355,23.378235,1.8190835,1,6
2015-05-31,24.168497,26.64424,3.9453495,2,10
2015-06-30,26.61678,30.422266,5.6614165,1,28
2015-07-31,27.569504,32.375164,9.502043,3,171
2015-08-31,27.892866,33.121246,11.435108,6,765
2015-09-30,28.060175,33.433628,11.774945,12,965
2015-10-31,27.65788,32.989002,11.064919,11,869
2015-11-30,26.931253,31.713099,7.1630836,5,271
2015-12-31,25.51336,29.407164,3.8851883,2,75
2016-01-31,23.09487,25.536345,1.3879572,2,13
2016-02-29,21.248495,22.529915,0.37390822,2,3
2016-03-31,21.449995,22.514286,0.4203765,2,17
2016-04-30,22.82181,24.438745,2.2922223,2,38
2016-05-31,25.409164,28.309423,4.342339,1,70
2016-06-30,27.401022,31.556211,7.0765834,2,254
2016-07-31,28.073753,33.020367,9.02785,4,926
2016-08-31,28.203615,33.462353,9.2950535,5,1451
2016-09-30,28.100992,33.48241,8.922556,5,1544
2016-10-31,27.940048,33.32581,7.6879573,4,1077
2016-11-30,27.163446,32.16366,5.894917,3,522
2016-12-31,25.569765,29.660578,3.800726,2,145
2017-01-31,23.245115,25.990894,1.8994088,2,92
2017-02-28,21.359554,22.794016,0.46366087,2,58
2017-03-31,20.867117,21.689035,0.35002697,2,36
2017-04-30,21.88737,23.195494,2.318639,2,73
2017-05-31,24.017782,26.47931,5.1124463,3,134
2017-06-30,26.253872,30.149332,8.838362,3,267
2017-07-31,27.508635,32.473286,12.366049,3,286
2017-08-31,28.036016,33.53531,14.820027,3,346
2017-09-30,28.112751,33.806316,14.66675,3,430
2017-10-31,27.83118,33.48209,13.855188,3,512
2017-11-30,26.959259,32.064674,11.245833,3,409
2017-12-31,25.156498,29.214577,7.117796,2,126
2018-01-31,22.47439,25.100506,4.4794626,2,26
2018-02-28,20.308308,21.538465,1.6385716,1,7
2018-03-31,20.193163,20.959145,0.38470447,2,19
2018-04-30,21.59897,22.818882,0.6590557,2,29
2018-05-31,23.891605,26.136732,2.8578765,2,52
2018-06-30,26.23329,29.91076,5.753444,3,295
2018-07-31,27.426731,32.192055,7.7799196,5,946
2018-08-31,27.924858,33.25534,9.555,7,1796
2018-09-30,28.39343,34.008522,8.4128895,10,3087
2018-10-31,28.19651,33.622967,6.477554,9,2406
2018-11-30,27.073797,31.807629,4.67525,7,1192
2018-12-31,25.066717,28.577967,2.5430648,4,293
2019-01-31,22.205608,24.169271,1.4468818,3,38
2019-02-28,20.263842,20.921783,0.68901795,2,18
2019-03-31,19.840685,20.061909,0.887527,2,17
2019-04-30,21.22472,21.979517,1.4709167,3,58
2019-05-31,24.17503,26.195616,2.306801,3,193
2019-06-30,26.612522,30.151426,4.503083,6,1884
2019-07-31,28.264387,32.993786,5.970887,58,16253
2019-08-31,28.945498,34.3222,7.221156,99,52636
2019-09-30,28.803608,34.447056,7.7054725,34,16856
2019-10-31,28.262344,33.82785,7.008656,19,8143
2019-11-30,27.155165,32.232105,6.150111,16,4011
2019-12-31,25.150946,29.237934,4.401129,7,1247
2020-01-31,22.235052,24.91617,2.9574733,7,199
2020-02-29,20.020452,21.325827,1.5094829,8,45
2020-03-31,19.430513,20.088985,0.637742,8,27
2020-04-30,20.950111,21.819397,0.8210834,6,25
2020-05-31,23.377617,25.343071,2.6857529,6,10
2020-06-30,25.899258,29.25213,6.031611,5,20
2020-07-31,27.412697,31.89378,8.923629,4,23
2020-08-31,27.906588,33.231136,10.915915,3,68
2020-09-30,28.309978,33.92063,11.536444,3,47
2020-10-31,28.354473,34.171803,10.489327,3,164
2020-11-30,27.588034,33.013103,8.662195,4,546
2020-12-31,25.541487,29.813292,6.280726,4,231
2021-01-31,22.8981,25.71201,3.540511,2,32
2021-02-28,20.52145,21.752747,1.254524,2,9
2021-03-31,20.425518,20.89701,0.05690877,3,13
2021-04-30,22.403282,23.141752,0.21283351,2,3
2021-05-31,25.100594,26.92137,1.4661561,1,43
2021-06-30,27.554625,30.851263,4.1244726,3,272
2021-07-31,28.343252,32.826363,6.9551883,11,2286
2021-08-31,28.274574,33.604416,9.672876,16,7698
2021-09-30,28.172613,33.852665,10.484028,15,7841
2021-10-31,28.083113,33.82693,9.17328,9,5458
2021-11-30,27.250666,32.36619,6.8602223,8,3567
2021-12-31,25.411015,29.385904,5.139355,4,1207
2022-01-31,22.8182,25.36255,3.2814248,4,126
2022-02-28,20.230488,21.357222,2.3388095,3,20
2022-03-31,19.573206,20.24573,2.1049194,4,20
2022-04-30,21.239416,22.518904,1.8251667,3,23
2022-05-31,23.696836,26.12695,3.2348657,4,163
2022-06-30,26.430079,30.19278,5.048,6,737
2022-07-31,28.050737,32.845974,6.69043,6,1571
2022-08-31,28.368061,33.606037,7.046291,6,3521
2022-09-30,28.528805,33.92662,7.7825284,12,9911
2022-10-31,28.319368,33.757652,7.7770166,20,21932
2022-11-30,27.218206,32.092705,7.4343057,20,19334
2022-12-31,25.214891,28.97154,6.104758,7,5024
2023-01-31,22.513987,24.901045,3.5198388,5,566
2023-02-28,20.580946,21.728811,1.331756,5,166
2023-03-31,20.431356,21.110092,0.35478508,5,111
2023-04-30,21.71634,22.822226,1.0819168,3,143
2023-05-31,24.414148,26.434067,2.05914,5,1036
2023-06-30,26.935616,30.18014,3.597167,10,5956
2023-07-31,28.283175,32.62731,5.828011,52,43854
2023-08-31,29.021967,34.106457,7.557258,58,71976
2023-09-30,29.130241,34.763794,8.478028,41,79598
2023-10-31,28.639803,34.286575,9.503899,22,67769
2023-11-30,27.633633,32.70292,7.383167,18,40716
2023-12-31,25.694342,29.71862,5.219355,9,9288
